Session Title,Session Location,Session Day,Session Start Time,Session End Time
Opening Ceremony,Room 201 (Grand Ballroom 1),October 9 2025,08:30,09:00
Keynote Talk I,Room 201 (Grand Ballroom 1),October 9 2025,09:00,10:00
Demo & Poster Presentation,Exhibition Hall,October 9 2025,10:00,10:30
Coffee Break,Room 201 (Grand Ballroom 1),October 9 2025,10:00,10:30
3D Display 1,Room 201 (Grand Ballroom 1),October 9 2025,10:30,11:30
Agents Design,Room 202 (Grand Ballroom 2),October 9 2025,10:30,11:30
Machine Learning and Graphics,Room 204,October 9 2025,10:30,11:30
Video Presentations 1: Human Factors and XR,Room 205,October 9 2025,10:30,11:30
Haptics 1,Room 301 (Conference Hall),October 9 2025,10:30,11:30
Demo & Poster Presentation,Exhibition Hall,October 9 2025,11:30,12:00
Coffee Break,Room 201 (Grand Ballroom 1),October 9 2025,11:30,12:00
Locomotion & 3DUI,Room 201 (Grand Ballroom 1),October 9 2025,12:00,13:00
Tracking,Room 202 (Grand Ballroom 2),October 9 2025,12:00,13:00
Social Behavior & Presence,Room 204,October 9 2025,12:00,13:00
Diversity & Therapy,Room 205,October 9 2025,12:00,13:00
Collaboration,Room 301 (Conference Hall),October 9 2025,12:00,13:00
Demo & Poster Presentation,Exhibition Hall,October 9 2025,13:00,14:30
Lunch,Room 201 (Grand Ballroom 1),October 9 2025,13:00,14:30
Education & Learning,Room 201 (Grand Ballroom 1),October 9 2025,14:30,15:30
Training in Health and Sports,Room 202 (Grand Ballroom 2),October 9 2025,14:30,15:30
Video Presentations 2: XR Illusions,Room 204,October 9 2025,14:30,15:30
Multisensory,Room 205,October 9 2025,14:30,15:30
3D Display & Rendering,Room 301 (Conference Hall),October 9 2025,14:30,15:30
Demo & Poster Presentation,Exhibition Hall,October 9 2025,15:30,16:00
Coffee Break,Room 201 (Grand Ballroom 1),October 9 2025,15:30,16:00
Hands,Room 201 (Grand Ballroom 1),October 9 2025,16:00,17:00
3DUI: Gaze,Room 202 (Grand Ballroom 2),October 9 2025,16:00,17:00
Locomotion,Room 204,October 9 2025,16:00,17:00
Cybersickness 1,Room 205,October 9 2025,16:00,17:00
"Avatars & Tracking, Animation",Room 301 (Conference Hall),October 9 2025,16:00,17:00
Demo & Poster Presentation,Exhibition Hall,October 9 2025,17:00,17:30
Coffee Break,Room 201 (Grand Ballroom 1),October 9 2025,17:00,17:30
Bodies & presence,Room 201 (Grand Ballroom 1),October 9 2025,17:30,18:30
Perception,Room 202 (Grand Ballroom 2),October 9 2025,17:30,18:30
In the Wild,Room 204,October 9 2025,17:30,18:30
Document Search,Room 205,October 9 2025,17:30,18:30
Perception & Interaction with Hands and Cues,Room 301 (Conference Hall),October 9 2025,17:30,18:30
Keynote Talk II,Room 201 (Grand Ballroom 1),October 10 2025,09:00,10:00
Demo & Poster Presentation,Exhibition Hall,October 10 2025,10:00,10:30
Coffee Break,Room 201 (Grand Ballroom 1),October 10 2025,10:00,10:30
3DUI Selection & Pointing,Room 201 (Grand Ballroom 1),October 10 2025,10:30,11:30
Agents and AI,Room 202 (Grand Ballroom 2),October 10 2025,10:30,11:30
