Paper ID,Paper Title,Session Title,Session Day,Session Start Time,Session End Time,Session Location,Paper Authors
1840,Dynamic Eyebox Steering for Improved Pinlight AR Near-eye Displays,3D Display 1,October 9 2025,10:30,11:30,Room 201 (Grand Ballroom 1),"Xinxing Xia, Zheye Yu, Dongyu Qiu, Andrei State, Tat-Jen Cham, Frank Guan, and Henry Fuchs"
1518,GS-ProCams: Gaussian Splatting-Based Projector-Camera Systems,3D Display 1,October 9 2025,10:30,11:30,Room 201 (Grand Ballroom 1),"Qingyue Deng, Jijiang Li, Haibin Ling, and Bingyao Huang"
1315,Multi-illumination-interfered Neural Holography with Expanded Eyebox,3D Display 1,October 9 2025,10:30,11:30,Room 201 (Grand Ballroom 1),"Xinxing Xia, Pengfei Mi, Yiqing Tao, Xiangyu Meng, Wenbin Zhou, Yingjie Yu, and Yifan (Evan) Peng"
1783,A Handheld Stiffness Display with a Programmable Spring and Electrostatic Clutches for Haptic Interaction in Virtual Reality,3D Display 1,October 9 2025,10:30,11:30,Room 201 (Grand Ballroom 1),"Ke Shi, Quan Xiong, Maozeng Zhang, Aiguo Song, and Lifeng Zhu"
1877,Virtual Pass-through: Evaluating 3D Gaussian Splatting as an Alternative to Conventional Video Pass-through in Static Environments,3D Display & Rendering,October 9 2025,14:30,15:30,Room 301 (Conference Hall),"Andy Schleising, Christian Kunert, Tobias Schwandt, and Wolfgang Broll"
1493,X-Mask: Improving Soft-Edge Occlusion in Optical See-Through Displays with Cross-Shaped Pinholes,3D Display & Rendering,October 9 2025,14:30,15:30,Room 301 (Conference Hall),"Xiaodan Hu, Christoph Ebner, Yan Zhang, Kiyoshi Kiyokawa, and Alexander Plopski"
1976,Enhanced Adaptive Subdivision for Dynamic Mesh Compression to Improve Visual Quality in VR/AR Rendering,3D Display & Rendering,October 9 2025,14:30,15:30,Room 301 (Conference Hall),"Dayun Nam, Seong Yong Lim, and Hyon-Gon Choo"
1519,IntelliCap: Intelligent Guidance for Consistent View Sampling,3D Display & Rendering,October 9 2025,14:30,15:30,Room 301 (Conference Hall),"Ayaka Yasunaga, Hideo Saito, Dieter Schmalstieg, and Shohei Mori"
1902,HeadZoom: Hands-Free Zooming and Panning for 2D Image Navigation Using Head Motion,Hands,October 9 2025,16:00,17:00,Room 201 (Grand Ballroom 1),"Kaining Zhang, Catarina Moreira, Pedro Belchior, Gun A. Lee, Mark Billinghurst, and Joaquim Jorge"
1942,Designing Hand and Forearm Gestures to Control Virtual Forearm for User-Initiated Forearm Deformation,Hands,October 9 2025,16:00,17:00,Room 201 (Grand Ballroom 1),"Yilong Lin, Han Shi, Weitao Jiang, Xuesong Zhang, Hye-Young Jo, Yoonji Kim, and Seungwoo Je"
1130,Comparing Hand and Controller Avatars with Hand Tracking and Controller-Based Interaction,Hands,October 9 2025,16:00,17:00,Room 201 (Grand Ballroom 1),"Natalia P Ocampo, J. Felipe Gonzalez, and Robert J Teather"
2242,AuxiScope: Handheld Augmented Reality Tablet as an Auxiliary Display for Large-Scale Display Systems,Hands,October 9 2025,16:00,17:00,Room 201 (Grand Ballroom 1),"Matthew Castellana, Chahat Kalsi, Yoonsang Kim, Saeed Boorboor, and Arie Kaufman"
1023,Adaptive Hand Visibility for Accurate 3D User Interactions in Virtual Environments,Perception & Interaction with Hands and Cues,October 9 2025,17:30,18:30,Room 301 (Conference Hall),"Rumeysa Turkmen, Laurent Voisard, Marta Kersten-Oertel, and Anil Ufuk Batmaz"
1867,The Effect of Hand Visibility in AR: Comparing Dexterity and Interaction with Virtual and Real Objects,Perception & Interaction with Hands and Cues,October 9 2025,17:30,18:30,Room 301 (Conference Hall),"Jakob Hartbrich, Stephanie Arevalo Arboleda, Steve Göring, and Alexander Raake"
1537,An Empirical Evaluation of How Virtual Hand Visibility Affects Near-Field Size Perception and Reporting of Tangible Objects in Virtual Reality,Perception & Interaction with Hands and Cues,October 9 2025,17:30,18:30,Room 301 (Conference Hall),"Chandni Murmu, Rohith Venkatakrishnan, Roshan Venkatakrishnan, Wen-Chieh Lin, Andrew Robb, Christopher Pagano, and Sabarish V. Babu"
