Poster ID,Poster Title,Poster Authors
D1-1,Mind-Archive: A Hybrid Framework for Real-Time Affective Lifelogging in Extended Reality,"Binyang Han (University of Canterbury), Peyman Zawar-Reza (University of Canterbury), Thammathip Piumsomboon (University of Canterbury)"
D1-2,Round-Trip2 Gesture: Inplace IMU Gesture Recognition with Visual Guidance for Out-of-FOV Interaction,"Taejun Son (Korea Advanced Institute of Science and Technology), Juyoung Lee (Korea Advanced Institute of Science and Technology), Seo Young Oh (Korea Advanced Institute of Science and Technology), Woontack Woo (Korea Advanced Institute of Science and Technology)"
D1-3,Fast Texture Transfer for XR Avatars via Barycentric UV Conversion,"Hail Song (Korea Advanced Institute of Science and Technology), Seokhwan Yang (Korea Advanced Institute of Science and Technology), Woontack Woo (Korea Advanced Institute of Science and Technology)"
D1-4,Towards a Modular XR Platform for Personalized Upper Limb Rehab,"Sambhav Manohar (Indian Institute of Information Technology Sri City) Mohit Madhu (Indian Institute of Information Technology Sri City), Chaitanya Anand (Indian Institute of Information Technology Sri City), Abhijit Patil (Indian Institute of Information Technology Sri City), Gabriel Zachmann (University of Bremen), Himangshu Sarma (Indian Institute of Information Technology Sri City)"
D1-5,Towards Agentic Tools for Drone Assistance in Extended Reality,"Samantha Narchetty (Illinois Mathematics and Science Academy), Arthur Caetano (University of California Santa Barbara), Misha Sra (University of California Santa Barbara)"
D1-6,User-feedback-based On Device AI Alignment System for AR HUDs in Automotive Applications,"Sungjei Kim (Korea University of Technology and Education), SungHee Ahn (HongIk University)"
D1-7,Filmmaking Education Using Virtual Reality and Generative AI for Real-Time Feedback in Simulated Environments,"Ali Darejeh (UNSW), David Liu (UNSW), Sara Mashayekh (UNSW)"
D1-8,AI-Based Posture Analysis and Personalized Feedback System for Weight Training: Real-Time Imbalance Detection and LLM-Assisted Coaching,"Sejun Yoon (Chung-Ang University), Jeongha Lee (Korea Institute of Science and Technology), Jae-In Hwang (Korea Institute of Science and Technology)"
D1-9,Towards Wearable Intelligent Assistants: Challenges & Research Agenda,"Chen Zhou (National University of Singapore), Wei Tsang Ooi (National University of Singapore)"
D1-10,Virtual Reality Task Guidance Through Relative 6DoF Pose Specification,"Benjamin Yang (Columbia University), Xichen He (Columbia University), Charlie Zou (Columbia University), Jen-Shuo Liu (Columbia University), Barbara Tversky (Stanford University), Steven Feiner (Columbia University)"
D1-11,Task-Oriented Hand Gesture Mapping with Gaze-Hand Interactions in VR,"Min-yung Kim (Korea Advanced Institute of Science and Technology), Kyoungwhan Mheen (Korea Advanced Institute of Science and Technology), Choongho Chung (Korea Advanced Institute of Science and Technology), Sung-Hee Lee (Korea Advanced Institute of Science and Technology), Sang Ho Yoon (Korea Advanced Institute of Science and Technology)"
D1-12,"Your Motion, Your Identity: Perceiving Personal Traits from Full-Body Motion Data","Jiayi Liu (University of North Carolina at Chapel Hill), Hao Chen (University of North Carolina at Chapel Hill), Jade Kandel (University of North Carolina at Chapel Hill), Mark Roman Miller (Illinois Institute of Technology), Danielle Albers Szafir (University of North Carolina at Chapel Hill)"
D1-13,Clinical Features-based Lifestyle Quantification Using Mobile Devices for Personalized Augmented Reality Intervention,"Taeyeon Kim (Korea Advanced Institute of Science and Technology), Eunhwa Song (Korea Advanced Institute of Science and Technology), Eunhee Jeong (Korea Advanced Institute of Science and Technology), Hyunjin Lee (Korea Advanced Institute of Science and Technology), Woontack Woo (Korea Advanced Institute of Science and Technology)"
D1-14,Mixed Reality for Sustainable Urban Planning: A Case Study of Lahdenväylä Masterplan in Helsinki,"Janset Shawash (Metropolia University of Applied Sciences), Santeri Saarinen (Metropolia University of Applied Sciences), Narmeen Marji (Metropolia University of Applied Sciences), Janina Rannikko (Metropolia University of Applied Sciences), Juho Puurunen (Metropolia University of Applied Sciences), Emmi Isokirmo (Metropolia University of Applied Sciences), Henri Liu (Metropolia University of Applied Sciences), Markku Inkinen (Metropolia University of Applied Sciences), Karin Domagalska (Metropolia University of Applied Sciences)"
