Demo ID,Session,Title,Authors,Affiliations,Abstract
1020,7 October 2026,AeroForge VR: Design-to-Flight,"Songlin Shang, Yushen Hu","Songlin Shang — University of Minnesota-Twin Cities
Yushen Hu — University of Minnesota-Twin Cities","We present AeroForge VR, an immersive design experience in which participants construct an aircraft in VR, generate a mesh through a pipeline conditioned on a signed distance field (SDF), and navigate the generated aircraft through an interactive cloudscape. Users define its structure by assembling and stretching 3D primitives. The system converts the blockout into an input SDF, retrieves airplane priors, and performs diffusion-based generation conditioned on the participant’s structural layout. After generation, participants use one controller to guide the aircraft and the other to paint mountain terrain, creating a design-to-flight loop integrating spatial authoring, controllable generation, and embodied interaction."
1050,7 October 2026,An Immersive Sporting Gaming for Local Multiuser Social Interaction,"Bianca Mirtes Araújo Miranda, Samuel Soares Pereira Costa, João Pedro Barreto Mello, Davi Augustus Figueiredo Lima Pinheiro, Beatriz Gouveia Gadelha, Alyson Souza","Bianca Mirtes Araújo Miranda — Federal University of Rio Grande do Norte
Samuel Soares Pereira Costa — Federal University of Rio Grande do Norte
João Pedro Barreto Mello — Federal University of Rio Grande do Norte
Davi Augustus Figueiredo Lima Pinheiro — Federal University of Rio Grande Do Norte
Beatriz Gouveia Gadelha — Federal University of Rio Grande Do Norte
Alyson Souza — Federal University of Rio Grande do Norte","DodgeballMR is a mixed reality (MR) multiplayer sports game for head-mounted displays that reimagines dodgeball through controller-free hand tracking and gesture-based interaction. A server-authoritative networking architecture synchronizes player positions and ball physics, ensuring consistent spatial alignment and reliable real-time interaction in a shared physical environment. The system also features themed virtual rooms to investigate how different contexts influence presence and social interaction. Preliminary user evaluations indicate positive perceptions of gameplay, interaction naturalness, social engagement, and immersion, suggesting that DodgeballMR provides an engaging and intuitive collaborative MR experience while supporting research on presence in shared immersive environments."
1039,7 October 2026,An Interactive Cross-Reality XR Demo for Urban Airspace Visualization,"Florian Baugé, Luljeta Sinani, Andreas Gerndt, Georgia Albuquerque","Florian Baugé — German Aerospace Center (DLR)
Luljeta Sinani — German Aerospace Center (DLR)
Andreas Gerndt — University of Bremen, German Aerospace Center (DLR)
Georgia Albuquerque — German Aerospace Center (DLR)","This demo presents a cross-reality interface for visualizing and interacting with unmanned traffic management (UTM) data in urban airspace.The interface combines a Mixed Reality (MR) tabletop view with immersive Virtual Reality (VR) to support multi-scale exploration of simulated drone traffic and restricted flight zones. Users can create and modify flight trajectories through hand gesture interaction, with changes synchronized across MR and VR representations. A seamless transition enables movement from MR tabletop view into an immersive perspective in VR.The system supports multi-user collaboration in shared sessions.The demo illustrates how cross-reality interfaces could support monitoring, planning, and understanding of future drone operations."
1052,7 October 2026,ES Physics-based controller policies driving VR characters ,"Joan Llobera, Pierre Nagorny, Caecilia Charbonnier","Joan Llobera — Artanim Foundation
Pierre Nagorny — Artanim Foundation
Caecilia Charbonnier — Artanim Foundation","The flexibility and the movement quality of physics-based character animation (PBCA) controllers have progressed significantly in recent years, but they are not yet used in virtual reality (VR) experiences. PBCA controllers are virtually never applied directly to rigged and textured characters, the standard way of rendering interactive characters in VR and video games.
In this work, we show PBCA controllers applied to two rigged and textured characters, each trained with 8 different walking styles and 2 different policies (DeepMimic, ADD) per walking style and character.The demonstration, based on WebXR and WebAssembly, shows the movement quality that can be achieved."
1056,7 October 2026,Exploring an Ancient Greek Polis through Virtual Reality,"Andrea Antonio Cantone, Emanuele Iovane, Monica Sebillo, Giuliana Vitiello","Andrea Antonio Cantone — University of Salerno
Emanuele Iovane — University of Salerno
Monica Sebillo — Università di Salerno
Giuliana Vitiello — Università di Salerno","Virtual Reality (VR) offers new opportunities to engage users with cultural heritage through immersive and interactive experiences. This demo showcases a VR application that recreates a stylized ancient Greek polis, allowing the user to freely explore historical sites while interacting with educational activities inspired by Greek daily life, mythology, and architecture. A virtual guide, Chiron, accompanies the user through contextualized voice narration and visual information, facilitating learning and independent exploration within the virtual environment. The experience combines free exploration, multimodal guidance, and interactive activities to foster user engagement with cultural heritage."
1047,7 October 2026,Flow Matching for Augmented Reality Applications,Christian Sandor,Christian Sandor — Université Paris-Saclay,"We present a demonstration of real-time, prompt-based video editing for augmented reality (AR). Our system uses a lightweight Flow Matching image generation model and runtime optimizations to transform live camera streams while preserving interactive frame rates. Unlike scene-reconstruction methods, which add virtual objects but cannot modify existing real-world content, our pipeline unifies both operations. At the conference, visitors will experience two setups: a large-screen Magic Mirror that alters their appearance, and AR glasses that modify their egocentric view. At 1080p, the prototype achieves 156 FPS with 110 ms latency, including network overhead, and supports output resolutions up to 4K."
1055,7 October 2026,Gravity Matters: An Immersive Virtual Reality Demonstration of Virtual Tool-Use,"Amir Jahanian Najafabadi, Anastasiia Skryzhadlovska","Amir Jahanian Najafabadi — Bielefeld University
Anastasiia Skryzhadlovska — Bielefeld University","Extended reality provides a unique opportunity to experimentally manipulate physical environments while maintaining immersive and natural interaction. We present a virtual reality demonstration that simulates altered gravity to investigate its impact on virtual tool use and user experience. Participants perform an interactive reaching-grasping task aboard a virtual spaceship while experiencing hypogravity, Earth gravity, and hypergravity through real-time physics simulation. The demonstration illustrates how changes in environmental physics influence perceived control, embodiment, workload, and performance while showcasing immersive virtual reality as a powerful platform for designing interactive experiences and conducting controlled human-subject experiments under simulated physical conditions."
1049,7 October 2026,Interactive Exploration of Camera Distortions using 3D Gaussian Splats in VR,"Yingfangzhong Sun, Christian Sandor, Daniel Filonik","Yingfangzhong Sun — Politecnico di Milano
Christian Sandor — Université Paris-Saclay
Daniel Filonik — Université Paris-Saclay","As 3D Gaussian Splatting (3DGS) is increasingly used for immersive scene exploration, conventional perspective projection still limits access to peripheral context. We present a Unity prototype for controllable wide-FOV and fisheye viewing of 3DGS scenes in stereo VR. Our implementation shows that nonlinear fisheye projection must consistently transform Gaussian centers and screen-space footprints, while per-eye projection, visibility, and updates must remain compatible for binocular fusion. Attendees can adjust projection parameters and compare visible coverage, boundary artifacts, and stereo stability under matched viewing conditions."
1048,7 October 2026,PersonalEyes: Real-Time Markerless Motion Capture and Gaussian Avatar Generation for Scalable VR Embodiment,"Anca Salagean, Sam Legg, Daniel A Ledger, Violeta Koleva, Crescent Jicol, Eamonn O'Neill, Mark Townsend","Anca Salagean — University of Bath
Sam Legg — University of Bath
Daniel A Ledger — University of Bath
Violeta Koleva — University of Bath
Crescent Jicol — University of Bath
Eamonn O'Neill — University of Bath
Mark Townsend — University of Bath","Photorealistic personalized avatars have significant potential for virtual reality (VR), embodiment research and social computing. However, traditional avatar creation workflows require specialist photogrammetry facilities, costly hardware and extensive manual processing. We present PersonalEyes, an end-to-end platform developed at the University of Bath combining IRIS, a real-time markerless webcam-based motion capture system, with a rapid Gaussian avatar generation pipeline running on commodity hardware. Users create a photorealistic animatable avatar from a short monocular video and immediately embody it through markerless motion capture. Attendees will generate, animate and embody their avatars within an immersive VR environment."
1065,7 October 2026,LEAP-VR: A PETTLEP-Grounded Virtual Reality Application for Imagery Training in Athletics,"Aleksandra Witoszek-Kubicka, Irina Łozińska, Artur Cybulski, Magdalena Igras-Cybulska, Tomasz Szaporów","Aleksandra Witoszek-Kubicka — Krakow University of Economics
Irina Łozińska — Krakow University of Economics
Artur Cybulski — Interactive Crafts sp. z o.o.
Magdalena Igras-Cybulska — Interactive Crafts sp. z o.o.
Tomasz Szaporów — Bronisław Czech University of Physical Education in Kraków","LEAP-VR is a configurable virtual reality prototype for PETTLEP-informed motor imagery in the long jump. The experience combines a calibrated athlete avatar and stadium environment with guided arousal preparation, third-person action observation, and
first-person rehearsal. User observes a reference jump, adopts the athlete’s viewpoint, and mentally rehearses the same movement without physical running or jumping. Implemented in Unity for Meta Quest, the system logs settings and stage transitions and exposes perspective and preparation conditions for future studies. The demonstration connects action observation and motor imagery in a portable format suited to short training sessions."
