ID,Submission title,Name,Abstract
1024,Designing Context-Sensitive Haptic Communication for Collaboration in Virtual Reality,"Hatira, Amal","Collaborative virtual environments (CVEs) allow users to work together in shared virtual spaces, but effective collaboration requires more than visual co-presence. Collaborators must coordinate time-critical actions, monitor each other's state and availability, and feel that they are acting together. My PhD research examines how lightweight wearable haptic feedback can support these needs in VR. Using smartwatch-based feedback, my recent work showed that coordination cues improved efficiency, while awareness cues improved partner monitoring and social presence. Building on this, my dissertation develops design principles and adaptive strategies for wearable haptics in collaborative VR."
1025,Designing Controller-Free Interaction Techniques for Selection and Accurate Manipulation in Extended Reality,"Turkmen, Rumeysa","Extended Reality (XR) applications are commonly used in domains such as surgical training, education, and rehabilitation. In many of these scenarios, handheld controllers are impractical or unavailable: users may need to preserve sterility, keep their hands occupied with instruments, or interact through optical hand tracking alone. My doctoral research investigates how controller-free XR interaction techniques can be designed to support effective selection and accurate manipulation under realistic interaction conditions. I structure this problem along three complementary dimensions: visibility, when targets are occluded; spatial context, when interaction distance changes; and control accuracy, when fine-grained object manipulation is required without physical support."
1026,XR for Climate Change Communication: Designing for General Audiences Through Gamification and Co-Creation,"Mrázová, Albína","Extended Reality technologies - in the case of this doctoral research, mainly augmented reality (AR) and virtual reality (VR) - offer great opportunities for communicating climate change risks and preparedness to the general public audience. However, current research mainly focuses on specific target groups such as students and trained professionals, leaving general-public applications underexplored. A related gap is focusing on methodology: the use of gamification and serious games within AR and VR experiences lacks documented design rationale - existing work rarely records how gamification elements were selected or why, or how these choices account for the distinct affordances of the two forms of technology. This doctoral research is focused on how gamification elements can be selected and justified for AR and VR experiences aimed at general audiences, developing a co-creation-based method for this selection process. This research uses climate change communication as its applied domain and testbed. AR applications have gone on-site, communicating local climate risks in the places they affect, while VR has shown up in public spaces like museums and libraries - sometimes as part of local events - so the audience can access it without owning a headset themselves."
1027,Intelligent Pedagogical Agents for Learning and Training in VR,"Jimenez, Angela","Extended reality (XR) offers a uniquely embodied medium for learning and training, yet most immersive systems follow a predetermined instructional path with limited flexibility to adapt to the individual learner. This research investigates how pedagogical agents can be designed to improve learning outcomes in virtual reality (VR) by combining two forms of interaction: conversational engagement with the learner through large language models (LLMs), and embodied interaction with the virtual environment through actions such as pointing, demonstrating, and manipulating objects. Building on prior work on agent interaction in VR, and a completed study of LLM-enhanced pedagogical agents in educational VR, this dissertation extends the inquiry to procedural training contexts (i.e., machinery operation) where a pedagogical agent must not only explain but also demonstrate. Three research questions guide this work: which agent design features drive learning outcomes, how LLM-mediated conversation affects learning gains, and how agent embodiment shapes the training experience. Together, these questions aim to establish design principles for embodied pedagogical agents across education and professional training in immersive environments."
1028,Enhancing Visual Salience and Search Efficiency in 3D User Interfaces: Investigating the Role of Stereoscopic Depth through Autostereoscopic Displays,"Tasliarmut, Melisa","Stereoscopic three-dimensional displays offer a unique additional visual dimension that could serve as a salience attribute in information-dense three-dimensional user interfaces. However, it remains poorly understood how depth competes with established low-level salience attributes such as color and size, and whether depth-based salience translates into measurable search efficiency gains. This PhD project investigates the perceptual basis and practical utility of stereoscopic depth as a salience attribute in three-dimensional user interfaces, using an autostereoscopic display as the primary technology. The project spans three empirical work packages ranging from psychophysical threshold estimation to comparative device evaluations."
1032,Gaze Guidance as Manipulation for Decision-Making in VR,"Alabanza, G. Nikki","Gaze guidance in virtual reality is used to direct user attention to specific locations within a virtual environment. This can aid with storytelling in a 360° environment, spatial navigation, or task guidance. However, directing attention also influences decision-making. Attention drives engagement and purchasing intent. By manipulating gaze, users can make purchases they would not have made otherwise. Existing work has highlighted forced attention in manipulative and deceptive design, but does not include methods for detection. This work aims to measure the influence of gaze guidance techniques on decision-making and to establish methods that detect when a user's gaze is manipulated."
1034,Asymmetric Augmented Reality Usage in Co-Located Collaborative Environments,"Anderson, Michael","Collaboration is a key application of augmented reality (AR) systems in both remote and co-located settings. Prior research on co-located collaboration has primarily focused on symmetrical scenarios in which all collaborators have access to AR devices and therefore receive equal access to the information and benefits provided by the technology. In practice, however, access to AR devices and content is often uneven due to device availability, cost constraints, or deliberate design decisions. This research plan suggests three studies in asymmetric scenarios of increasing levels of AR usage and complexity. We will investigate how these unequal constellations affect collaboration."
1036,Evaluating Attentional Stability in Optical See-Through Augmented Reality Through Adaptation of Risk-Informed Visual Attention Metrics,"Bright, Addison","Visual attention plays a critical role in the effectiveness and safety of optical see-through augmented reality (OST-AR) systems, yet the field lacks standardized approaches for assessing attentional behavior. Existing AR evaluations typically emphasize performance, workload, and usability outcomes, providing limited insight into how users allocate attention between physical and virtual information sources. This dissertation explores whether visual attention metrics that have demonstrated relevance to safety and performance outcomes in driving can be adapted and validated for OST-AR environments. The first phase of this work consists of a systematic review and conceptual framework that identifies candidate metrics, including glance duration, transition-based, and entropy-based measures, and introduces attentional stability as a construct for understanding attention regulation in hybrid visual environments. Building upon this foundation, two planned empirical studies will evaluate the sensitivity of these metrics to changing task demands and their ability to predict performance outcomes under increasing levels of attentional competition. The anticipated outcome is a framework for evaluating visual attention in AR that is grounded in established attention research while addressing the unique demands of OST-AR systems. Through participation in the Doctoral Consortium, I seek feedback on the conceptualization of attentional stability, experimental design decisions, and approaches for validating attention metrics in AR."
1038,Context-Aware Modality Adaptation for Robust Multimodal XR Interaction,"Bashar, Mohammad Raihanul","Extended Reality (XR) systems increasingly combine gaze, hand input, speech, controllers, and AI-mediated interaction. Yet many systems still use fixed modality mappings, leaving users to decide which modality to use, when to switch, and how to recover when sensing or interpretation fails. My doctoral research reframes multimodal XR interaction as an adaptive coordination problem: how can XR systems use task, spatial, perceptual, and confidence-related context to select, combine, and communicate modalities while preserving user agency? Through studies of multi-object selection, 3D selection, hand-tracking failure, creative interaction, and human–AI collaboration, I aim to develop empirically grounded design guidance for robust hands-free and minimally instrumented XR interaction."
1039,Toward Object-Affordance-Aware Minimal AR for Adaptive Procedural Task Guidance,"Yavari, Mona","Augmented Reality (AR) can support industrial procedural tasks, but effective instruction authoring still requires decisions about which visual assets are needed. Minimal AR addresses this issue by providing only task-relevant information. Yet, before any visual asset is added, some information may already be perceptually available through the object's visible properties and the operator's prior experience. My doctoral research investigates this perceptual layer by focusing on object affordance in Minimal AR guidance. The thesis aims to develop and validate a rating framework that assesses when object-related information is already inferable and when additional AR support is justified for procedural tasks."
