Session ID,Session Title,Day,Time,TimeSlot,Room,Paper ID,Paper Title,Authors,Abstract
Paper 1A1,XR Learning,"Wednesday, 7 October",11:15–12:15,A,Orione + Perseo,1107,Mobility Learning in Microgravity: AR-guided Spacewalk Exploration for Education and Spatial Cognition,"Yonghao Chen, Xiaojiao Chen, Yu Tian, Zaifeng Gao, Chunhui Wang","Spacewalk during extravehicular activities (EVAs) is uniquely challenging due to microgravity and the complex spatial structure of space stations. These characteristics also make EVA an inherently engaging yet difficult to grasp learning scenario for spacewalk education, where novices often struggle to balance high-fidelity experiential immersion with effective spatial cognition and learning. Therefore, we introduce augmented reality (AR) as a form of guidance for educational exploration, supporting learners in understanding station structure, orientation, and mobility principles. We begin by conducting a formative study with aerospace experts to identify domain knowledge and key learning barriers for AR-guided spacewalk education. Guided by these insights, we develop a high-fidelity AR simulation prototype for exploratory spacewalk touring that incorporates EVA constraints and multiple movement modes, providing visual waypoint guidance, posture-aware feedback, and real-time route replanning. We evaluate the prototype through a controlled within-subject user study with 16 participants. Results show that AR-guided exploration improves route comprehension and embodied orientation awareness, enhances performance during exploration, and enhances cognitive map construction during tasks. Finally, we discuss design implications for optimizing the prototype across contexts ranging from in-depth education to operational astronaut support systems."
Paper 1A1,XR Learning,"Wednesday, 7 October",11:15–12:15,A,Orione + Perseo,1129,Olfactory Context Cues for Procedural Skill Transfer from Digital Twin-Based Mixed Reality to Real-World Execution,"Mengting Lai, Xiaoxuan Zhao, Wen Li, Shirin Hajahmadi, Pasquale Cascarano, Gustavo Marfia","Mixed Reality (MR) learning systems employ Digital Twins (DTs) to replicate real-world tasks, yet sensory discontinuity between DT-based MR environments and physical task contexts can hinder skill transfer. We investigate whether olfactory contextual cues can bridge this gap by serving as cross-environment anchors for memory encoding and retrieval. In a two-day study, 48 participants learned Rubik's Cube rotation notations in a DT-based MR environment and were tested on a physical cube (Day 1), then completed a transfer test approximately 24 hours later (Day 2). A 2 × 2 between-subjects design manipulated rosemary odor presence during learning and testing. Results showed that rosemary during DT-based MR learning increased spatial presence and motivation while producing equivalent short-term task completion time compared to the no-odor condition. For overnight transfer, when rosemary was present during learning, reinstating the same odor at testing yielded higher transfer performance and lower cognitive load, and reduced recall difficulty compared to the no-odor condition at retrieval. More broadly, matched olfactory conditions between learning and testing produced higher accuracy and reduced cognitive load relative to mismatched conditions. These findings provide the first evidence that olfactory contextual cues can support procedural skill transfer from DT-based MR environments to real-world execution, and suggest that when real-world tasks involve characteristic ambient odors, replicating them in virtual training may help preserve encoding–retrieval congruence."
Paper 1A1,XR Learning,"Wednesday, 7 October",11:15–12:15,A,Orione + Perseo,1328,The Importance of Pedagogical Agent Design in Gamified Immersive Virtual Reality for Vocational Education and Training,"Enricoandrea Laviola, Antonio Uva, Michele Gattullo","This study investigates how different pedagogical agent designs can affect learning performance and user experience in gamified Immersive Virtual Reality (IVR) for Vocational Education and Training (VET) instructional activities. Although theory predicts benefits from combining gamification and pedagogical agents, it remains unclear whether such integration enhances learning and user experience or introduces extraneous stimulation. To fill this gap, we conducted a user study with 84 VET students comparing four pedagogical IVR conditions within an engineering-oriented VET learning task: non-gamified, gamified without a companion, gamified with a side-by-side companion, and gamified with an in-situ companion as part of the learning activity. We assessed the educational impact of these conditions, measuring learning outcomes, alongside psychological and behavioral metrics related to learners’ well-being in line with Education 5.0 principles, including cognitive load, attention, engagement, and motivation. Findings indicate that learning performance was preserved across conditions, while the inclusion of an active in-situ pedagogical agent enhanced engagement, optimized cognitive load distribution, and improved user experience."
Paper 1A1,XR Learning,"Wednesday, 7 October",11:15–12:15,A,Orione + Perseo,2051,Exploring Effects of Physical and Cognitive Demands: Simulating AR-based Real-world Situations for Procedural Tasking in UH-60 Helicopters,"Jacob Belga, Ryan McKendrick, Molly Kluck, Ryan P. McMahan, Joseph LaViola","Prior research on augmented reality (AR) and virtual reality (VR) task guidance has largely focused on environments and experiences that are typically free of external distractions or conditions that impact user performance and cognitive load. However, this presents a gap the literature with regard to understanding how simulating adverse conditions (e.g., poor lighting, rain, loud noises) from the real world affect user perception and performance. Therefore, in our work, we present one of the few studies to investigate the usage of interaction cues in task guidance contexts that involve these adverse, distracting conditions. We conducted a 3 × 3  within-subjects experiment in which 22 participants performed procedural button-pressing tasks in a simulated UH-60 Blackhawk helicopter while also completing a 2-back cognitive task. Our study systematically varied interaction cue jitter and environmental conditions as to simulate potential situations co-pilots may find themselves in while piloting a helicopter. The results of our work indicate the jitter has a significant, adverse effect on task completion time and performance. Furthermore, the storm conditions led to significant increases in mental effort, physical effort, and user discomfort despite not being directly related to the primary task. In our paper, we further detail our findings and discuss how our results highlight the importance of accounting for potential adverse conditions that occur in real-world experiences. We also provide avenues of future work to further explore this nuanced area of research."
Paper 1B1,Scene Reconstruction,"Wednesday, 7 October",11:45–12:45,B,Cigno + Auriga,1008,Mix3R: Zero-shot Interactive 3D Scene Reconstruction from a Single Image in Mixed Reality,"Seok-Young Kim, Dooyoung Kim, Taejun Son, Young Bin Kim, Woojin Cho, Woontack Woo","We present Mix3R, a training-free 3D scene reconstruction framework that enables immersive Mixed Reality (MR) interaction from a single real-world image. Despite recent progress in single-image 3D scene generation, existing methods often struggle with background recovery under occlusion and lack evaluations regarding natural interaction as well as immersion in MR environments. We address these challenges through a structured integration of large-scale model priors, enabling geometrically consistent 3D scene reconstruction without additional training. The framework combines vision–language-guided foreground–background separation with depth alignment from back-projected point clouds to achieve reliable background completion while preserving detailed object geometry. Experiments on the 3D-FRONT dataset show that Mix3R improves reconstruction quality, reducing Chamfer Distance by over 23% and increasing object-level F-score by more than 6%, with additional gains in scene-level perceptual metrics. User studies on in-the-wild images further demonstrate higher user preference for the proposed method across diverse real-world scenes. These results indicate that our approach enables practical reconstruction of interactive MR spaces from an arbitrary single image. Our project page is https://anonymous-17482.github.io/Mix3R/"
Paper 1B1,Scene Reconstruction,"Wednesday, 7 October",11:45–12:45,B,Cigno + Auriga,1744,MR-Compare: A Mixed-Reality Framework for Spatially Grounded Visual Comparison of Heterogeneous 3D Reconstructions with Reality,"Changrui Zhu, Ernst Kruijff, Pengju Zhang, Simon Julier","We introduce MR-Compare, a spatially grounded mixed reality framework that registers heterogeneous 3D reconstructions to the live video see-through (VST) view for visual comparison. Implemented on a Meta Quest 3, it combines a two-stage registration pipeline with a 3D Slider to enable seamless cross-media comparison between the reconstructed past and the live present.
Through a real-world benchmarking and exploratory user study involving 30 participants, we evaluated five representative workflows spanning both mesh-based and 3D Gaussian Splatting (3DGS)-based reconstructions across desktop pipelines (Nerfstudio 3DGS, 3DGS-MCMC, and RealityScan mesh) and mobile capture pipelines (Polycam mesh and Scaniverse 3DGS).

The results showed that MR-Compare achieved centimetre-level registration in all cases. Desktop 3DGS workflows outperformed the other methods overall, with 3DGS-MCMC showing the lowest registration error (0.91 cm and 0.86 degrees) and the highest visual consistency with the VST. These subjective findings were strongly corroborated by our objective evaluations. MR-Compare also demonstrated high overall usability and low cognitive workload across all tested workflows.
To further optimise registration precision for 3DGS workflows and complement our two-room user study, we propose the anisotropy filter, a zero-shot module that leverages Gaussian anisotropies to extract geometric surface proxies. Evaluations on the Replica dataset show that moderate pruning improves robustness and reduces alignment errors. For standard 3DGS, the filter reduced translation and rotation errors by 0.35 cm (37.6%) and 0.08 degrees (38.7%), respectively. For 3DGS-MCMC, it reduced translation and rotation errors by 0.12 cm (16.9%) and 0.04 degrees (29.1%), respectively."
Paper 1B1,Scene Reconstruction,"Wednesday, 7 October",11:45–12:45,B,Cigno + Auriga,1878,SnapPhysics: A Physics-Aware Scene Graph from a Single View for Interactive Mixed Reality Scenes,"Suji Kang, Seok-Young Kim, Young Bin Kim, Taewook Ha, Dieter Schmalstieg, Shohei Mori, Woontack Woo","Estimating the physical properties of objects is as important as reconstructing their geometry for achieving physically coherent interactions in mixed reality. Prior work typically analyzes object dynamics observed in video or object semantics inferred from a single image, relying on vision-language models (VLM) for contextual reasoning. These methods are either computationally costly or lack geometric grounding, and consequently fail to capture spatial and contact relationships across objects. To address these challenges, we present SnapPhysics, a framework that reconstructs 3D objects with their physical properties, such as mass, friction or center of gravity, from a single image through instance-level 3D object reconstruction, spatial alignment, and reasoning based on a scene graph. The physics-aware scene graph is central to our approach. It
is provided to a VLM along with per-object geometry to infer physical properties. Our experiments on the 3D-FRONT dataset demonstrate that SnapPhysics improves the F-Score on a scene level by 18.6% over previous approaches and achieves competitive performance in physical property estimation, reducing mean absolute log difference error (mALDE) by up to 20.5% and improving linear correlation (r2 ls) by up to 19.6% compared to VLM-only estimation. SnapPhysics enables physically interactive MR experiences from an image without any manual parameter tuning."
Paper 1B1,Scene Reconstruction,"Wednesday, 7 October",11:45–12:45,B,Cigno + Auriga,10.1109/TVCG.2026.3698654,Semantic Scene Graphs for Creating a Localization-Ready Internet of Things,Jan Kolberg,"Controlling devices connected to the Internet of Things often requires juggling multiple smartphone apps or physical remote controls, creating a fragmented user experience. Augmented Reality (AR) can afford superior control by automatically presenting virtual user interfaces that are spatially aligned with networked devices. However, before such user interfaces can be delivered, physical devices must be localized in the environment. This paper introduces LORIOT (LOcalization-Ready Internet Of Things), a novel end-to-end system that uses a semantic scene graph and a large language model to map the identities of the networked devices to physical objects, given a pre-filtered set of IoT-device candidate nodes. A declarative UI specification enables automatic generation of device control panels for AR and non-AR clients. We evaluate the mapping component on a controlled synthetic-room benchmark of 100 randomly generated rooms. Using device network metadata alone, we achieve a baseline macro-averaged F1 score of 0.80 for digital → physical associations. When device metadata is enriched with physical attributes (mounting location, materials, color, and size), performance improves to 0.88. Moreover, we evaluate the benefit of spatially registered AR control in a within-subject user study (N=20), comparing in-situ AR panels against conventional non-AR control with smartphone apps or physical remote controls. AR yields significantly faster task completion, lower mental demand, and higher usability."
Paper 1B2,Haptic Interaction,"Wednesday, 7 October",11:45–12:45,B,Glasshaus,1322,Direction-Aware 3D Haptic Retargeting in VR,"Zhikai Wen, Jian Wu, Runze Fan, Sio Kei Im, Lili Wang","Passive haptic retargeting effectively addresses real-world limitations in virtual reality by repurposing physical proxies. However, existing methods typically rely on single proxies, 2D planar arrangements, or fixed 3D proxies, failing to provide authentic tactile feedback for complex 3D interaction tasks. This limitation stems from the challenges of managing mobile proxies in volumetric space while ensuring directional consistency between virtual and physical contacts. To address these problems, this paper proposes a direction-aware 3D haptic retargeting method. We first design a magnetic physical proxy system that enables stable 3D stacking and robust omnidirectional pose tracking. Central to our approach is the introduction of a Haptic-Direction Score, which quantitatively evaluates non-occupied proxies and available placement positions with Local Exposure, Global Haptic Direction Quality, and Non-occupied Proxy Availability. We also propose a haptic retargeting method based on Haptic-Direction Score, which dynamically maps virtual targets to optimal physical targets during the retargeting process. A user study comparing our approach with state-of-the-art methods demonstrates that our method significantly reduces the system reset rate, while improving task completion efficiency, the consistency of haptic perception, and overall user experience in complex 3D environments."
Paper 1B2,Haptic Interaction,"Wednesday, 7 October",11:45–12:45,B,Glasshaus,1525,Shaping Redirected Walking with Ankle-Based Vibrotactile Feedback,"Premankur Banerjee, Nan Li, JIAXUAN WANG, Heather Culbertson","Redirected Walking (RDW) is a locomotion technique where users can explore large virtual environments while physically moving within a limited real-world space. Existing haptic redirection techniques often rely on infrastructure-heavy setups that limit deployability in real-world XR systems. In this work we investigate whether lightweight, ankle-based vibrotactile feedback can modulate perceptual sensitivity to RDW curvature manipulations. We present a wearable, wireless, gait-synchronized ankle-tendon vibrotactile system that delivers unilateral or bilateral cues during the swing phase of walking. In a within-subject study (N=28) spanning 14 experimental conditions, we systematically evaluate how stimulation side, temporal profile (constant vs. gait-velocity modulated), and curvature direction affect curvature detection thresholds. Results show that RDW effectiveness is strongly state-dependent: slow walking consistently permits larger curvature gains, and spatially asymmetric (unilateral) ankle stimulation produces greater perceptual bias than bilateral cues. Movement-contingent stimulation further improves perceived naturalness, presence, and user acceptance. Together, these findings provide the first systematic investigation of ankle-based vibrotactile augmentation for RDW and demonstrate that portable lower-limb haptics can meaningfully extend redirection capabilities without environmental instrumentation. We derive design guidelines highlighting the importance of locomotor-state adaptation, spatial asymmetry, and gait synchronized feedback for scalable redirected walking in XR."
