Session,Session Title,Day,Time,Chunk,Poster ID,Title,Author 1,Author 2,Author 3,Author 4,Author 5,Author 6,Author 7,Author 8,Author 9,Author 10,Author 11,Author 12,Author 13,Author 14,Author 15,ACM Author Affiliations,abstract
Poster 1B,"XR Training, Education & Responsible Use","Wednesday, 7 October",13:45-16:00,Chunk 4,P1059,Semantic Dissonance Detection: A Contrastive Kinematic Transformer for Predictive Support for Errorless Learning in VR,Vedanta Hazra,Kaushal Kumar Bhagat,,,,,,,,,,,,,,"Vedanta Hazra: Indian Institute of Technology, Kharagpur, Kaushal Kumar Bhagat: Indian Institute of Technology Kharagpur","High consequence procedural training in Virtual Reality currently relies on reactive Intelligent Tutoring Systems that correct novices only after a physical error is committed. Allowing erroneous physical execution fosters negative training transfer and incorrect motor schema consolidation. We introduce Semantic Dissonance Detection, a cross-modal machine learning framework designed to predict and intercept cognitive action slips before physical contact occurs. By mapping a user's verbalized intent into a semantic latent space using a frozen Vision-Language Model, and simultaneously projecting their real-time 13-element OpenXR kinematic state vector through a custom Contrastive Transformer, the system continuously estimates intent-action divergence. To solve spatial overfitting, we apply Relative Position Normalization across 45-frame rolling temporal windows. The kinematic encoder is trained using Supervised Contrastive Learning to mitigate false negative penalties among kinematically similar linear motions. In a controlled study (N=50, 1500 trajectories) evaluating a four-action spatial protocol, our framework achieved a 93.7% Leave-One-Subject-Out (LOSO) cross-validation accuracy. During applied pedagogical testing, the framework isolated a stable congruence baseline that successfully identified action slips in our experimental setting within the first 0.25 seconds of movement. This 750ms predictive safety buffer allowed users to correct their trajectories mid-reach, associated with a 95.3% relative reduction in completed physical errors compared to reactive baselines. This work offers a focused yet rigorous demonstration of supervised cross-modal kinematic-semantic alignment within a constrained spatial training environment for early predictive modeling in immersive environments."
Poster 2A,"Human Perception, Cognition & XR Methods","Thursday, 8 October",11:15-13:45,Chunk 5,P1076,Toward Interoperable and Reproducible XR: Key Insights from the IEEE VR 2026 Standardization Panel,Takeshi Kurata,Jen-Shuo Liu,,,,,,,,,,,,,,"Takeshi Kurata: AIST, Jen-Shuo Liu: Columbia University","The IEEE VR 2026 Standardization Panel, ""Standardization in XR and VR: Challenges and Priorities Beyond Terminology,'' brought together representatives from academia, industry, and standards organizations to discuss the role of standardization in the future of immersive technologies. Rather than focusing solely on terminology, the panel addressed how standardization can support interoperability, reproducibility, research practices, and emerging technologies while maintaining close communication between the research community and standards organizations."
Poster 2B,"Collaborative XR, Avatars & Navigation","Thursday, 8 October",14:15-16:30,Chunk 3,P1178,Sea-Scale Situation Awareness for Subsea Infrastructure Security in XR: Design Insights for Immersive and Non-Immersive Tools,Andrea Nordwall,Giulia Wally Scurati,,,,,,,,,,,,,,"Andrea Nordwall: Department of Mechanical Engineering, Giulia Wally Scurati: Blekinge Institute of Technology","Subsea infrastructure faces an increased risk of damage as geopolitical tensions rise in the Baltic Sea region, necessitating cooperation between public and private actors. Current monitoring systems used by national coast guards and cable solutions providers are based on 2D sea chart data visualization, with limited capability for displaying contextual information, and do not effectively support collaboration and knowledge sharing. Based on an iterative user-centered design process, we introduce a concept design for sea-scale situation awareness, integrating 3D bathymetry, satellite, ship transponder, geodata, and cable system sensor data into an integrated view, evaluating immersive vs non-immersive XR modalities."
Poster 1A,"Visualization, Rendering & Immersive Experience","Wednesday, 7 October",10:30-12:45,Chunk 6,P1342,Texturized Surfel-Based Dynamic Reconstruction: Comparing Visual Perception with Meshed-TSDF,Bruno Caby,Guillaume Bataille,Florence Danglade,Jean-Rémy Chardonnet,,,,,,,,,,,,"Bruno Caby: Orange Research, Guillaume Bataille: Orange, Florence Danglade: Arts et Metiers ParisTech, Jean-Rémy Chardonnet: Arts et Metiers Institute of Technology","Real-time dynamic reconstruction is a cornerstone technology to maintain spatial awareness over time in collaborative scenarios. Most of existing methods do not handle dynamic changes in real-time, while neural based approaches require extensive preparation time. We present a reconstruction method that addresses both limitations. We performed a user study (N=23) comparing our method against a meshed baseline using signed distance fields in a practical VR scenario, aiming to show comparable user experience. We found no significant differences for perceived quality, task completion time, and task load, with most variations remaining within a 15\% reference margin, indicating a comparable user perception."
Poster 3A,"Embodied Interaction, Multimodal Control & Assistive Systems","Friday, 9 October",11:15-13:45,Chunk 2,P1387,"Effects of Body-Movement Remapping and Attachment Position of a Virtual Supernumerary Arm on Embodiment, Workload, and Performance",Harin Hapuarachchi,Michiteru Kitazaki,Hiroaki Shigemasu,,,,,,,,,,,,,"Harin Hapuarachchi: Kochi University of Technology, Michiteru Kitazaki: Toyohashi University of Technology, Hiroaki Shigemasu: Kochi University of Technology","Virtual supernumerary limbs require effective mappings between the user’s body movements and the additional limb. We investigated how body-movement remapping and attachment position influence embodiment, workload, and reaching performance of a virtual supernumerary arm. Twenty-four participants controlled the arm using shoulder or foot movements while the arm was attached to the shoulder or hip. Ownership and agency were not significantly modulated by either factor. However, shoulder attachment reduced subjective workload, whereas foot control enabled faster reaching. These results reveal a design trade-off: anatomically proximal attachment may reduce workload, while foot-based remapping can improve task performance without reducing embodiment."
Poster 1A,"Visualization, Rendering & Immersive Experience","Wednesday, 7 October",10:30-12:45,Chunk 6,P1544,What is Lost in Immersion? How Virtual Reality Reshapes Spatial Understanding of 1920s German Expressionist Cinema?,Rafaella Siagkri,Alexandra Covaci,Gordana Korolija Fontana-Giusti,Ambrose Gillick,Marios Constantinides,Fotis Liarokapis,,,,,,,,,,"Rafaella Siagkri: University of Brighton, Alexandra Covaci: University of Kent, Gordana Korolija Fontana-Giusti: University of Kent, Ambrose Gillick: University of Kent, Marios Constantinides: CYENS Centre of Excellence, Fotis Liarokapis: CYENS, Centre of Excellence","Virtual Reality (VR) is increasingly used for cultural heritage preservation and reconstruction of lost architectural spaces. However, existing work has focused primarily on physically built heritage and has largely treated spatial accuracy as the primary measure of reconstruction fidelity. This assumption remains untested for artistic and cinematic heritage, where distortion, perspective, and controlled viewing conditions are often central to the original experience. To test this, we conducted a within-subjects study (N=30) to examine how VR reshapes the experience of German Expressionist film architecture. Participants experienced Jane's Bedroom from The Cabinet of Dr Caligari across three conditions: (a) film, (b) VR-static, and (c) VR-moving. Our findings show that VR significantly improves spatial perception and visualisation, but simultaneously reduces key Expressionist qualities, including claustrophobia and cinematic disorientation. We argue that spatial accuracy alone is an insufficient measure of fidelity for artistic heritage and discuss implications for future preservation workflows."
Poster 2B,"Collaborative XR, Avatars & Navigation","Thursday, 8 October",14:15-16:30,Chunk 3,P1710,Adaptive Mixed-Reality Spatial Prompts for Navigation in Cultural Environments,Meng Xia,,,,,,,,,,,,,,,Meng Xia: University College London (UCL),"Wayfinding support in mixed reality (MR) is usually delivered as fixed, turn-by-turn overlays that substitute a visitor’s spatial reasoning. This is efficient for routing but poorly suited to cultural environments, where orientation and exploration matter alongside reaching a target. We present an early-stage framework that treats embodied navigation behaviour (dwell, hesitation, backtracking, heading change from head-mounted display tracking) as signals for lightweight inference of a visitor’s navigation state, then adapts MR spatial prompts accordingly, from in-situ cues to withheld guidance. We describe the pipeline, a museum walkthrough, and a planned within-subjects evaluation. No user study has been conducted."
Poster 3A,"Embodied Interaction, Multimodal Control & Assistive Systems","Friday, 9 October",11:15-13:45,Chunk 2,P1714,An Augmented Reality Prototype for Spatial Attention Assessment and Rehabilitation in Visuospatial Neglect,Rim Yu,Eui Jung,Hyo Suk Nam,JoonNyung Heo,Eunjeong Park,,,,,,,,,,,"rim yu: Yonsei University College of Medicine, Eui Jung: SIG Brain Inc., Hyo Suk Nam: Yonsei University College of Medicine, JoonNyung Heo: Yonsei University College of Medicine, Eunjeong Park: Yonsei University College of Medicine","Visuospatial neglect following stroke significantly affects patients’ functional recovery and their ability to perform daily activities. However, traditional assessment methods often require considerable administration time and have limitations in quantitatively capturing behavioral metrics of neglect. This study aims to investigate the technical feasibility of an augmented reality (AR)–based system for assessing and rehabilitating spatial attention deficits. We developed an AR-based system using lightweight AR glasses that present visual stimuli and enable the measurement of user responses through interactive tasks. The proposed system includes multiple spatial attention assessment and rehabilitation tasks, including a Ball Tracking task, Line Bisection task, Target Search task, and Line Following task. Behavioral data collected during task performance enable quantitative assessment of spatial attention functions. The system utilizes lightweight AR glasses with 6 Degrees of Freedom (6-DoF) head tracking to capture user interactions through head movements alone. This approach enables the extraction of behavioral metrics, such as reaction time, spatial bias, and visual search patterns, within an interactive virtual environment. The results suggest that diverse behavioral metrics related to spatial attention can be quantitatively derived through 6-DoF head-movement interaction. The proposed AR-based system demonstrates the potential of a digital rehabilitation platform for the quantitative assessment and rehabilitation of spatial attention functions."
Poster 1A,"Visualization, Rendering & Immersive Experience","Wednesday, 7 October",10:30-12:45,Chunk 6,P1795,XR4DAvatar: Photorealistic 4D Avatar for Extended Reality,Yanling Hua,Stefanie Zollmann,Tobias Langlotz,,,,,,,,,,,,,"Yanling Hua: Aarhus Univeristy, Stefanie Zollmann: Aarhus University, Tobias Langlotz: Aarhus University","We present a novel framework for reconstructing photorealistic 4D avatars from monocular videos for XR applications. Unlike existing 3D Gaussian Splatting (3DGS)-based avatar reconstruction methods that rely on constrained human poses and camera setups and often lack animation rigs, our approach supports unconstrained real-world monocular videos as input and produces animatable, photorealistic avatars. We integrate a diffusion-based image generation model to generate multi-view images and a textured SMPL-X-guided 3D Gaussian Splatting model to construct 3D avatars. Our results show superior performance over existing approaches in standard image quality metrics. We also show practical application of our results by demonstrating 4D human performance replay rendered as 4DGS from monocular videos in XR based on our Unity-based replay pipeline."
Poster 3B,Interaction & XR Interfaces,"Friday, 9 October",14:15-16:30,Chunk 1,P1854,Effects of Contextually Competitive Virtual Environments on Selection Studies in Virtual Reality,Eric DeMarbre,Hamza Bashandy,Robert J. Teather,,,,,,,,,,,,,"Eric DeMarbre: Monash University, Hamza Bashandy: Carleton University, Robert J. Teather: Monash University","We present a preliminary study on how the visual presentation of a virtual environment influences performance on a Fitts’ law selection task, which is known to be repetitive and tedious. We compare a ""neutral"" or sterile environment with a detailed arcade environment suggestive of a competitive atmosphere. Results suggest that the environment had a limited impact on performance, but participants had a more positive impression of the more detailed environment."
